in_bmi_lookback_ID,in_sbp_lookback_ID,in_bmi_ID,in_sbp_ID,n
Unavailable,Unavailable,Unavailable,Unavailable,69456 (17.8)
Unavailable,Unavailable,Unavailable,Available,10092 (2.6)
Unavailable,Unavailable,Available,Unavailable,14028 (3.6)
Unavailable,Unavailable,Available,Available,50945 (13)
Unavailable,Available,Unavailable,Unavailable,11967 (3.1)
Unavailable,Available,Unavailable,Available,15217 (3.9)
Unavailable,Available,Available,Unavailable,1636 (0.4)
Unavailable,Available,Available,Available,39559 (10.1)
Available,Unavailable,Unavailable,Unavailable,14375 (3.7)
Available,Unavailable,Unavailable,Available,1039 (0.3)
Available,Unavailable,Available,Unavailable,11086 (2.8)
Available,Unavailable,Available,Available,13302 (3.4)
Available,Available,Unavailable,Unavailable,18877 (4.8)
Available,Available,Unavailable,Available,7632 (2)
Available,Available,Available,Unavailable,2786 (0.7)
Available,Available,Available,Available,109012 (27.9)
